instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_group
71,2011-01-04,Spring,2011,Jan,1,No,Tue,Yes,Clear,0.16,0.1818,0.59,0.1045,0,2,2,Off Hours
72,2011-01-04,Spring,2011,Jan,2,No,Tue,Yes,Clear,0.14,0.1515,0.63,0.1343,0,1,1,Off Hours
73,2011-01-04,Spring,2011,Jan,4,No,Tue,Yes,Clear,0.14,0.1818,0.63,0.0896,0,2,2,Off Hours
74,2011-01-04,Spring,2011,Jan,5,No,Tue,Yes,Clear,0.12,0.1515,0.68,0.1045,0,4,4,Off Hours
75,2011-01-04,Spring,2011,Jan,6,No,Tue,Yes,Clear,0.12,0.1515,0.74,0.1045,0,36,36,Morning Peak
76,2011-01-04,Spring,2011,Jan,7,No,Tue,Yes,Clear,0.12,0.1515,0.74,0.1343,2,92,94,Morning Peak
77,2011-01-04,Spring,2011,Jan,8,No,Tue,Yes,Clear,0.14,0.1515,0.69,0.1642,2,177,179,Morning Peak
78,2011-01-04,Spring,2011,Jan,9,No,Tue,Yes,Clear,0.16,0.1515,0.64,0.2239,2,98,100,Morning Peak
79,2011-01-04,Spring,2011,Jan,10,No,Tue,Yes,Mist/Cloudy,0.16,0.1364,0.69,0.3284,5,37,42,Afternoon
80,2011-01-04,Spring,2011,Jan,11,No,Tue,Yes,Clear,0.22,0.2121,0.51,0.2985,7,50,57,Afternoon
81,2011-01-04,Spring,2011,Jan,12,No,Tue,Yes,Clear,0.22,0.2273,0.51,0.1642,12,66,78,Afternoon
82,2011-01-04,Spring,2011,Jan,13,No,Tue,Yes,Clear,0.24,0.2273,0.56,0.194,18,79,97,Afternoon
83,2011-01-04,Spring,2011,Jan,14,No,Tue,Yes,Clear,0.26,0.2576,0.52,0.2239,9,54,63,Afternoon
84,2011-01-04,Spring,2011,Jan,15,No,Tue,Yes,Clear,0.28,0.2727,0.52,0.2537,17,48,65,Afternoon
85,2011-01-04,Spring,2011,Jan,16,No,Tue,Yes,Clear,0.3,0.2879,0.49,0.2537,15,68,83,Evening Peak
86,2011-01-04,Spring,2011,Jan,17,No,Tue,Yes,Clear,0.28,0.2727,0.48,0.2239,10,202,212,Evening Peak
87,2011-01-04,Spring,2011,Jan,18,No,Tue,Yes,Clear,0.26,0.2576,0.48,0.194,3,179,182,Evening Peak
88,2011-01-04,Spring,2011,Jan,19,No,Tue,Yes,Clear,0.24,0.2576,0.48,0.1045,2,110,112,Evening Peak
89,2011-01-04,Spring,2011,Jan,20,No,Tue,Yes,Clear,0.24,0.2576,0.48,0.1045,1,53,54,Off Hours
90,2011-01-04,Spring,2011,Jan,21,No,Tue,Yes,Clear,0.22,0.2727,0.64,0.0,0,48,48,Off Hours
91,2011-01-04,Spring,2011,Jan,22,No,Tue,Yes,Clear,0.22,0.2576,0.64,0.0896,1,34,35,Off Hours
92,2011-01-04,Spring,2011,Jan,23,No,Tue,Yes,Clear,0.2,0.2273,0.69,0.0896,2,9,11,Off Hours
93,2011-01-05,Spring,2011,Jan,0,No,Wed,Yes,Clear,0.2,0.2576,0.64,0.0,0,6,6,Off Hours
94,2011-01-05,Spring,2011,Jan,1,No,Wed,Yes,Clear,0.16,0.197,0.74,0.0896,0,6,6,Off Hours
95,2011-01-05,Spring,2011,Jan,2,No,Wed,Yes,Clear,0.16,0.197,0.74,0.0896,0,2,2,Off Hours
96,2011-01-05,Spring,2011,Jan,4,No,Wed,Yes,Clear,0.24,0.2273,0.48,0.2239,0,2,2,Off Hours
97,2011-01-05,Spring,2011,Jan,5,No,Wed,Yes,Clear,0.22,0.2273,0.47,0.1642,0,3,3,Off Hours
98,2011-01-05,Spring,2011,Jan,6,No,Wed,Yes,Clear,0.2,0.197,0.47,0.2239,0,33,33,Morning Peak
99,2011-01-05,Spring,2011,Jan,7,No,Wed,Yes,Clear,0.18,0.1818,0.43,0.194,1,87,88,Morning Peak
100,2011-01-05,Spring,2011,Jan,8,No,Wed,Yes,Clear,0.2,0.1818,0.4,0.2985,3,192,195,Morning Peak
101,2011-01-05,Spring,2011,Jan,9,No,Wed,Yes,Clear,0.22,0.197,0.37,0.3284,6,109,115,Morning Peak
102,2011-01-05,Spring,2011,Jan,10,No,Wed,Yes,Clear,0.22,0.197,0.37,0.3284,4,53,57,Afternoon
103,2011-01-05,Spring,2011,Jan,11,No,Wed,Yes,Clear,0.26,0.2273,0.33,0.3284,12,34,46,Afternoon
104,2011-01-05,Spring,2011,Jan,12,No,Wed,Yes,Clear,0.26,0.2273,0.33,0.3284,5,74,79,Afternoon
105,2011-01-05,Spring,2011,Jan,13,No,Wed,Yes,Clear,0.28,0.2576,0.3,0.2985,6,65,71,Afternoon
106,2011-01-05,Spring,2011,Jan,14,No,Wed,Yes,Clear,0.3,0.2879,0.28,0.194,10,52,62,Afternoon
107,2011-01-05,Spring,2011,Jan,15,No,Wed,Yes,Clear,0.3,0.2879,0.28,0.194,7,55,62,Afternoon
108,2011-01-05,Spring,2011,Jan,16,No,Wed,Yes,Clear,0.3,0.3182,0.28,0.0896,4,85,89,Evening Peak
109,2011-01-05,Spring,2011,Jan,17,No,Wed,Yes,Clear,0.24,0.2273,0.38,0.194,4,186,190,Evening Peak
110,2011-01-05,Spring,2011,Jan,18,No,Wed,Yes,Clear,0.24,0.2424,0.38,0.1343,3,166,169,Evening Peak
111,2011-01-05,Spring,2011,Jan,19,No,Wed,Yes,Clear,0.24,0.2576,0.38,0.1045,5,127,132,Evening Peak
112,2011-01-05,Spring,2011,Jan,20,No,Wed,Yes,Clear,0.22,0.2273,0.47,0.1642,7,82,89,Off Hours
113,2011-01-05,Spring,2011,Jan,21,No,Wed,Yes,Clear,0.2,0.197,0.51,0.194,3,40,43,Off Hours
114,2011-01-05,Spring,2011,Jan,22,No,Wed,Yes,Clear,0.18,0.197,0.55,0.1343,1,41,42,Off Hours
115,2011-01-05,Spring,2011,Jan,23,No,Wed,Yes,Clear,0.2,0.2576,0.47,0.0,1,18,19,Off Hours
116,2011-01-06,Spring,2011,Jan,0,No,Thu,Yes,Clear,0.18,0.2424,0.55,0.0,0,11,11,Off Hours
117,2011-01-06,Spring,2011,Jan,1,No,Thu,Yes,Clear,0.16,0.2273,0.64,0.0,0,4,4,Off Hours
118,2011-01-06,Spring,2011,Jan,2,No,Thu,Yes,Clear,0.16,0.2273,0.64,0.0,0,2,2,Off Hours
119,2011-01-06,Spring,2011,Jan,4,No,Thu,Yes,Mist/Cloudy,0.16,0.197,0.64,0.0896,0,1,1,Off Hours
120,2011-01-06,Spring,2011,Jan,5,No,Thu,Yes,Mist/Cloudy,0.14,0.1818,0.69,0.0896,0,4,4,Off Hours
121,2011-01-06,Spring,2011,Jan,6,No,Thu,Yes,Mist/Cloudy,0.14,0.1667,0.63,0.1045,0,36,36,Morning Peak
122,2011-01-06,Spring,2011,Jan,7,No,Thu,Yes,Mist/Cloudy,0.16,0.2273,0.59,0.0,0,95,95,Morning Peak
123,2011-01-06,Spring,2011,Jan,8,No,Thu,Yes,Clear,0.16,0.2273,0.59,0.0,3,216,219,Morning Peak
124,2011-01-06,Spring,2011,Jan,9,No,Thu,Yes,Mist/Cloudy,0.18,0.2424,0.51,0.0,6,116,122,Morning Peak
125,2011-01-06,Spring,2011,Jan,10,No,Thu,Yes,Clear,0.2,0.2576,0.47,0.0,3,42,45,Afternoon
126,2011-01-06,Spring,2011,Jan,11,No,Thu,Yes,Clear,0.22,0.2576,0.44,0.0896,2,57,59,Afternoon
127,2011-01-06,Spring,2011,Jan,12,No,Thu,Yes,Clear,0.26,0.2879,0.35,0.0,6,78,84,Afternoon
128,2011-01-06,Spring,2011,Jan,13,No,Thu,Yes,Clear,0.26,0.2727,0.35,0.1045,12,55,67,Afternoon
129,2011-01-06,Spring,2011,Jan,14,No,Thu,Yes,Clear,0.28,0.2727,0.36,0.1642,11,59,70,Afternoon
130,2011-01-06,Spring,2011,Jan,15,No,Thu,Yes,Clear,0.28,0.2727,0.36,0.0,8,54,62,Afternoon
131,2011-01-06,Spring,2011,Jan,16,No,Thu,Yes,Clear,0.26,0.2576,0.38,0.1642,12,74,86,Evening Peak
132,2011-01-06,Spring,2011,Jan,17,No,Thu,Yes,Clear,0.22,0.2273,0.51,0.1642,9,163,172,Evening Peak
133,2011-01-06,Spring,2011,Jan,18,No,Thu,Yes,Clear,0.22,0.2273,0.51,0.1343,5,158,163,Evening Peak
134,2011-01-06,Spring,2011,Jan,19,No,Thu,Yes,Clear,0.22,0.2576,0.55,0.0896,3,109,112,Evening Peak
135,2011-01-06,Spring,2011,Jan,20,No,Thu,Yes,Clear,0.2,0.2121,0.51,0.1642,3,66,69,Off Hours
136,2011-01-06,Spring,2011,Jan,21,No,Thu,Yes,Mist/Cloudy,0.22,0.2121,0.55,0.2239,0,48,48,Off Hours
137,2011-01-06,Spring,2011,Jan,22,No,Thu,Yes,Mist/Cloudy,0.22,0.2121,0.51,0.2836,1,51,52,Off Hours
138,2011-01-06,Spring,2011,Jan,23,No,Thu,Yes,Mist/Cloudy,0.2,0.197,0.59,0.194,4,19,23,Off Hours
139,2011-01-07,Spring,2011,Jan,0,No,Fri,Yes,Mist/Cloudy,0.2,0.197,0.64,0.194,4,13,17,Off Hours
140,2011-01-07,Spring,2011,Jan,1,No,Fri,Yes,Mist/Cloudy,0.2,0.197,0.69,0.2239,2,5,7,Off Hours
141,2011-01-07,Spring,2011,Jan,2,No,Fri,Yes,Mist/Cloudy,0.2,0.197,0.69,0.2239,0,1,1,Off Hours
142,2011-01-07,Spring,2011,Jan,4,No,Fri,Yes,Mist/Cloudy,0.2,0.2121,0.69,0.1343,0,1,1,Off Hours
143,2011-01-07,Spring,2011,Jan,5,No,Fri,Yes,Light Rain/Snow,0.22,0.2727,0.55,0.0,0,5,5,Off Hours
144,2011-01-07,Spring,2011,Jan,6,No,Fri,Yes,Mist/Cloudy,0.2,0.2576,0.69,0.0,8,26,34,Morning Peak
145,2011-01-07,Spring,2011,Jan,7,No,Fri,Yes,Clear,0.2,0.2121,0.69,0.1343,8,76,84,Morning Peak
146,2011-01-07,Spring,2011,Jan,8,No,Fri,Yes,Clear,0.2,0.197,0.51,0.2537,20,190,210,Morning Peak
147,2011-01-07,Spring,2011,Jan,9,No,Fri,Yes,Clear,0.2,0.1818,0.47,0.2985,9,125,134,Morning Peak
148,2011-01-07,Spring,2011,Jan,10,No,Fri,Yes,Clear,0.22,0.197,0.37,0.3284,16,47,63,Afternoon
149,2011-01-07,Spring,2011,Jan,11,No,Fri,Yes,Mist/Cloudy,0.2,0.197,0.4,0.2239,19,48,67,Afternoon
150,2011-01-07,Spring,2011,Jan,12,No,Fri,Yes,Mist/Cloudy,0.2,0.197,0.37,0.2537,9,50,59,Afternoon
151,2011-01-07,Spring,2011,Jan,13,No,Fri,Yes,Mist/Cloudy,0.2,0.1818,0.37,0.2836,9,64,73,Afternoon
152,2011-01-07,Spring,2011,Jan,14,No,Fri,Yes,Mist/Cloudy,0.2,0.197,0.4,0.2537,7,43,50,Afternoon
153,2011-01-07,Spring,2011,Jan,15,No,Fri,Yes,Mist/Cloudy,0.2,0.2121,0.37,0.1642,9,63,72,Afternoon
154,2011-01-07,Spring,2011,Jan,16,No,Fri,Yes,Mist/Cloudy,0.2,0.2121,0.37,0.1642,5,82,87,Evening Peak
155,2011-01-07,Spring,2011,Jan,17,No,Fri,Yes,Mist/Cloudy,0.2,0.2576,0.37,0.0,9,178,187,Evening Peak
156,2011-01-07,Spring,2011,Jan,18,No,Fri,Yes,Clear,0.2,0.2273,0.4,0.0896,7,116,123,Evening Peak
157,2011-01-07,Spring,2011,Jan,19,No,Fri,Yes,Clear,0.16,0.197,0.55,0.0896,3,92,95,Evening Peak
158,2011-01-07,Spring,2011,Jan,20,No,Fri,Yes,Clear,0.18,0.2121,0.47,0.1045,1,50,51,Off Hours
159,2011-01-07,Spring,2011,Jan,21,No,Fri,Yes,Clear,0.18,0.197,0.47,0.1343,0,39,39,Off Hours
160,2011-01-07,Spring,2011,Jan,22,No,Fri,Yes,Mist/Cloudy,0.18,0.197,0.43,0.1642,2,34,36,Off Hours
161,2011-01-07,Spring,2011,Jan,23,No,Fri,Yes,Mist/Cloudy,0.18,0.197,0.51,0.1642,1,14,15,Off Hours
162,2011-01-08,Spring,2011,Jan,0,No,Sat,No,Mist/Cloudy,0.18,0.197,0.51,0.1642,1,24,25,Off Hours
163,2011-01-08,Spring,2011,Jan,1,No,Sat,No,Mist/Cloudy,0.18,0.2121,0.55,0.0896,1,15,16,Off Hours
164,2011-01-08,Spring,2011,Jan,2,No,Sat,No,Mist/Cloudy,0.18,0.2424,0.55,0.0,3,13,16,Off Hours
165,2011-01-08,Spring,2011,Jan,3,No,Sat,No,Light Rain/Snow,0.18,0.197,0.55,0.1642,0,7,7,Off Hours
166,2011-01-08,Spring,2011,Jan,4,No,Sat,No,Light Rain/Snow,0.18,0.197,0.55,0.1642,0,1,1,Off Hours
167,2011-01-08,Spring,2011,Jan,5,No,Sat,No,Mist/Cloudy,0.16,0.1667,0.74,0.1642,0,5,5,Off Hours
168,2011-01-08,Spring,2011,Jan,6,No,Sat,No,Mist/Cloudy,0.16,0.1667,0.74,0.1642,0,2,2,Morning Peak
169,2011-01-08,Spring,2011,Jan,7,No,Sat,No,Mist/Cloudy,0.16,0.1818,0.74,0.1045,1,8,9,Morning Peak
170,2011-01-08,Spring,2011,Jan,8,No,Sat,No,Light Rain/Snow,0.16,0.1818,0.93,0.1045,0,15,15,Morning Peak
171,2011-01-08,Spring,2011,Jan,9,No,Sat,No,Light Rain/Snow,0.16,0.1818,0.93,0.1045,0,20,20,Morning Peak
172,2011-01-08,Spring,2011,Jan,10,No,Sat,No,Mist/Cloudy,0.18,0.197,0.8,0.1642,5,56,61,Afternoon
173,2011-01-08,Spring,2011,Jan,11,No,Sat,No,Mist/Cloudy,0.2,0.1818,0.69,0.3881,2,60,62,Afternoon
174,2011-01-08,Spring,2011,Jan,12,No,Sat,No,Mist/Cloudy,0.2,0.1818,0.59,0.3582,8,90,98,Afternoon
175,2011-01-08,Spring,2011,Jan,13,No,Sat,No,Clear,0.2,0.1818,0.44,0.3284,7,95,102,Afternoon
176,2011-01-08,Spring,2011,Jan,14,No,Sat,No,Clear,0.2,0.1667,0.32,0.4925,12,83,95,Afternoon
177,2011-01-08,Spring,2011,Jan,15,No,Sat,No,Clear,0.2,0.1667,0.32,0.4478,5,69,74,Afternoon
178,2011-01-08,Spring,2011,Jan,16,No,Sat,No,Clear,0.18,0.1364,0.29,0.4478,8,68,76,Evening Peak
179,2011-01-08,Spring,2011,Jan,17,No,Sat,No,Clear,0.16,0.1212,0.37,0.5522,5,64,69,Evening Peak
180,2011-01-08,Spring,2011,Jan,18,No,Sat,No,Clear,0.14,0.1212,0.39,0.2985,3,52,55,Evening Peak
181,2011-01-08,Spring,2011,Jan,19,No,Sat,No,Clear,0.14,0.1212,0.36,0.2537,4,26,30,Evening Peak
182,2011-01-08,Spring,2011,Jan,20,No,Sat,No,Clear,0.12,0.1212,0.36,0.2537,0,28,28,Off Hours
183,2011-01-08,Spring,2011,Jan,21,No,Sat,No,Clear,0.12,0.1061,0.39,0.3582,2,35,37,Off Hours
184,2011-01-08,Spring,2011,Jan,22,No,Sat,No,Clear,0.12,0.1061,0.36,0.3881,1,33,34,Off Hours
185,2011-01-08,Spring,2011,Jan,23,No,Sat,No,Clear,0.1,0.0606,0.39,0.4478,0,22,22,Off Hours
186,2011-01-09,Spring,2011,Jan,0,No,Sun,No,Clear,0.1,0.0758,0.42,0.3881,1,24,25,Off Hours
187,2011-01-09,Spring,2011,Jan,1,No,Sun,No,Clear,0.1,0.0606,0.42,0.4627,0,12,12,Off Hours
188,2011-01-09,Spring,2011,Jan,2,No,Sun,No,Clear,0.1,0.0606,0.46,0.4627,0,11,11,Off Hours
189,2011-01-09,Spring,2011,Jan,3,No,Sun,No,Clear,0.1,0.0758,0.46,0.4179,0,4,4,Off Hours
190,2011-01-09,Spring,2011,Jan,4,No,Sun,No,Clear,0.08,0.0909,0.53,0.194,0,1,1,Off Hours
191,2011-01-09,Spring,2011,Jan,5,No,Sun,No,Clear,0.08,0.0909,0.53,0.194,0,1,1,Off Hours
192,2011-01-09,Spring,2011,Jan,6,No,Sun,No,Clear,0.1,0.0909,0.49,0.2836,0,1,1,Morning Peak
193,2011-01-09,Spring,2011,Jan,7,No,Sun,No,Clear,0.08,0.0909,0.53,0.194,1,5,6,Morning Peak
194,2011-01-09,Spring,2011,Jan,8,No,Sun,No,Clear,0.1,0.0909,0.49,0.2836,0,10,10,Morning Peak
195,2011-01-09,Spring,2011,Jan,9,No,Sun,No,Clear,0.12,0.0758,0.46,0.5224,0,19,19,Morning Peak
196,2011-01-09,Spring,2011,Jan,10,No,Sun,No,Clear,0.14,0.1061,0.43,0.3881,0,49,49,Afternoon
197,2011-01-09,Spring,2011,Jan,11,No,Sun,No,Clear,0.16,0.1212,0.4,0.5224,2,47,49,Afternoon
198,2011-01-09,Spring,2011,Jan,12,No,Sun,No,Clear,0.18,0.1364,0.37,0.4478,4,79,83,Afternoon
199,2011-01-09,Spring,2011,Jan,13,No,Sun,No,Clear,0.2,0.1667,0.34,0.4478,6,69,75,Afternoon
200,2011-01-09,Spring,2011,Jan,14,No,Sun,No,Clear,0.22,0.1818,0.32,0.4627,8,64,72,Afternoon
201,2011-01-09,Spring,2011,Jan,15,No,Sun,No,Clear,0.22,0.197,0.35,0.3582,5,77,82,Afternoon
202,2011-01-09,Spring,2011,Jan,16,No,Sun,No,Clear,0.2,0.1667,0.34,0.4478,13,79,92,Evening Peak
203,2011-01-09,Spring,2011,Jan,17,No,Sun,No,Clear,0.18,0.1515,0.37,0.3881,3,59,62,Evening Peak
204,2011-01-09,Spring,2011,Jan,18,No,Sun,No,Clear,0.16,0.1364,0.4,0.3284,4,44,48,Evening Peak
205,2011-01-09,Spring,2011,Jan,19,No,Sun,No,Clear,0.16,0.1364,0.43,0.3284,1,40,41,Evening Peak
206,2011-01-09,Spring,2011,Jan,20,No,Sun,No,Clear,0.14,0.1212,0.46,0.2537,0,38,38,Off Hours
